User_Name,Location,Tweets
RaraHazel,Kuala Lumpur City,"RT @masud_basheer: No matter what you're going through in life, suicide is never an option.
Just be patient, you'll still die 🙏"
emiliaburgin_3,"England, United Kingdom","RT @masud_basheer: No matter what you're going through in life, suicide is never an option.
Just be patient, you'll still die 🙏"
DaZoneRadio,,RT @GAFollowers: BREAKING: Atlanta rapper '6 Dogs' has passed away from suicide. RIP https://t.co/Ec1hBM8OdY
piky_Yeeh,Pedrajas de San Esteban,"RT @WWIIpix: This day in 1943, a few days before collapse of the 6th Army in Stalingrad, Hitler promotes Friedrich Paulus to the rank of Ge…"
KunguWaNjenga,Online,"RT @RonnyReagan10: Youth are at the center of several pressing issues such as
gender-based violence, suicide, gang-related violence or unem…"
Ez4u2say_Janis,"Newfoundland and Labrador, Can",RT @kelly2277: 🔥🚨🔥Has ROGER STONE said anything about the suicide of Capitol Police officer Howard Liebengood Jr⁉️Stone was friends with hi…
jerodmcdaniel,"ㄒ乇乂卄ㄖ爪卂, ㄖҜ","@CDCgov Cool , now do all the charts about negative fallout (suicide, depression, substance abuse) caused by your misguidance! 😁

🖕🏼"
Bluesjack7J,,"@MSNBC_rocks_ You are a nicer person than I. 
I'm convinced they are committing suicide because they are involved.… https://t.co/9JJfHCkavl"
masud_basheer,Somewhere i don’t belong,"RT @Xahraddeen_: FBI Twitter, put your detective cap on and find out if it's a murder or suicide. https://t.co/Xvmrbj2fUv"
SarahOkeson,"Springfield, Mo.",RT @BandyXLee1: “What people find the hardest to cope with is not the suffering itself but ... what their own government has done to them.”…
Animo_Matters,,"RT @oishi_saarker: There is so much evidence in Sushant's murder that the fabricated Suicide story itself has died :3 

CBI Decode SSR Murd…"
lykahermoso_,,"RT @masud_basheer: No matter what you're going through in life, suicide is never an option.
Just be patient, you'll still die 🙏"
MinxLc,Northern California,"@deblync76 @LindaWesson @WeatherGeek68 No, not suicide for Epstein. People with a conscience commit suicide, child… https://t.co/L2he9PRdfY"
stfumtch,,"RT @masud_basheer: No matter what you're going through in life, suicide is never an option.
Just be patient, you'll still die 🙏"
EvieRein,Canada,"@JohnTory since we do a daily count of deaths from Covid, maybe we should do a daily count from opioid OD and suici… https://t.co/6CGt86qnTQ"
mommytant,,"RT @SusanCodone: To just preach the gospel means to talk about how the story of God includes depression and suicide, for even Elijah asked…"
pjlee01,"England, United Kingdom","RT @mattwridley: I am honoured to become a trustee of the new Rose Paterson Trust in memory of my sister.

We will try to prevent any famil…"
kiwani,US,RT @SphynkCat: @KimmyLou7 @LindaWesson Would be interesting to find out if the officers commiting suicide were the ones identified in aidin…
Crocker_Actual,"Maine, USA",RT @BandyXLee1: “What people find the hardest to cope with is not the suffering itself but ... what their own government has done to them.”…
Dicky_Paul_95,Canada,"@Docs4GunControl The 🇺🇸 has 60x more gun deaths than 🇨🇦.

What research exists on guns and suicide in Canada, that’… https://t.co/cFZjc63YCZ"
